Character,Text,Episode,LineNumber
DIRECTION,"""We placed a large boulder on that ledge,""",107,339
Rick,"""""",107,340
DIRECTION,"""Holy shit! Y-y-you're gonna crush us with a boulder?!""",107,341
Gazorpian #2,"""No! Stop interrupting!""",107,342
DIRECTION,"""The boulder falls onto a lever that will launch knives,""",107,343
Rick,"""What? Just give me a gun,""",107,344
DIRECTION,"""I'll kill myself.""",107,345
Gazorpian #2,"""Stop interrupting!""",107,346
DIRECTION,"""The knives will -- fine!""",107,347
DIRECTION,"""You were right the first time, okay? The boulder crushes you,""",107,348
DIRECTION,"""I just didn't want to admit you were right,""",107,349
DIRECTION,"""- Happy?""",107,350
DIRECTION,"""- No, just ignore them,""",107,351
DIRECTION,"""- Ignore them,""",107,352
DIRECTION,"""- Such an asshole,""",107,353
Rick,"""Look, I'm sorry, Summer,""",107,354
DIRECTION,"""I feel bad that I let you drag us into this,""",107,355
DIRECTION,"""I wish I could have been a better grandpa to you, and, you know, for what it's worth, that is a really nice, cute top that you're wearing there,""",107,356
Summer,"""Top, My top!""",107,357
DIRECTION,"""My top -- the same top you complimented earlier!""",107,358
DIRECTION,"""Look -- look at the tag,""",107,359
DIRECTION,"""Read it.""",107,360
Gazorpian #2,"""It says, ""Marc Jacobs,""",107,361
DIRECTION,"""Marc? Jacob?""",107,362
DIRECTION,"""These are names of the penis,""",107,363
Summer,"""Yes,""",107,364
DIRECTION,"""An Earth man made this top,""",107,365
DIRECTION,"""Maybe on your planet, separation of the genders is the right thing to do, but on Earth, a certain percentage of our males are born gay, which is why my clothes are better than all of yours,""",107,366
DIRECTION,"""A man made something fashionable?""",107,367
DIRECTION,"""It's true, and sometimes the truth hurts, but it must be accepted, like if I told you that you're using the wrong color foundation for your skin and it ends at your neck, making you look like a party clown.""",107,368
Summer,"""Okay, ouch, Noted,""",107,369
DIRECTION,"""But the fact remains if you impose""",107,370
DIRECTION,"""Gazorpazorp's laws on earth, you're no better than the men whose farts shall remain unspoken,""",107,371
DIRECTION,"""And if you think my top is cute, you cannot execute,""",107,372
DIRECTION,"""[ All gasp ]""",107,373
DIRECTION,"""Very well, Give the Earth people a spacecraft so they may head back to their weird planet, where women are kind of equal but not really,""",107,374
Rick,"""Good job, Summer, and thanks, girls,""",107,375
DIRECTION,"""You know, you girls are really something, I'll tell you that,""",107,376
DIRECTION,"""You know when we first got there, I was like --""",107,377
DIRECTION,"""Give them a ship now,""",107,378
Morty,"""Morty Jr! Smoking?! that is not okay!""",107,379
Morty Jr,"""What are you gonna do? ground me? I can't go outside anyway!""",107,380
Morty,"""So what?! you could do things inside! you could play guitar, you could masturbate.""",107,381
Morty Jr,"""I don't wanna masturbate, i want to conquer the planet!""",107,382
Morty,"""Oh, here we go again! you know, who do you think is gonna love you if you conquer the planet, Morty Jr,?!""",107,383
Morty Jr,"""Love, that's all you care about! what about weapons?! what about domination of the enemy?!""",107,384
Morty,"""All right, that's it -- no more History Channel! this TV is for cartoons and video games only!""",107,385
Morty Jr,"""I hate video games!""",107,386
Morty,"""You take that back! give it to me! (pushes Morty Jr) Ugh! I-I-I didn't mean -- I didn't mean that, I didn't mean to do that, I'm sorry,""",107,387
Morty Jr,"""I can't take this anymore! i'd rather breathe poison than live another minute with you!""",107,388
Morty,"""No! No, no, no! Stop!""",107,389
DIRECTION,"""[ Breathing deeply ]""",107,390
Morty Jr,"""' My life has been a lie, God is dead, The government's lame, Thanksgiving is about killing Indians, Jesus wasn't born on Christmas, They moved the date, it was a pagan holiday!""",107,391
- Morty,"""Oh, dad!""",107,392
- Jerry,"""Yes, Morty?""",107,393
Morty,"""My son is gonna take over the planet, and I am too young to drive!""",107,394
DIRECTION,"""Can you help me get him back?!""",107,395
Jerry,"""[ Clears throat ]""",107,396
DIRECTION,"""I suppose, Morty,""",107,397
DIRECTION,"""I suppose,""",107,398
DIRECTION,"""But first, a deep sip from a very tall glass of""",107,399
DIRECTION,"""I told you so ,""",107,400
DIRECTION,"""[ Gulping ]""",107,401
Morty,"""Oh, my god!""",107,402
DIRECTION,"""Please, dad! Come on!""",107,403
DIRECTION,"""[ Dog barking in distance ]""",107,404
DIRECTION,"""♪ Runnin' wild, runnin' hot, burnin' inside ♪""",107,405
DIRECTION,"""♪ With the youth in the blood and the age ♪""",107,406
DIRECTION,"""♪ And the heat and the fire in your pants, open wide ♪""",107,407
DIRECTION,"""♪ You're gonna run from the damn cold ♪""",107,408
DIRECTION,"""♪ But you can't run from your youth ♪""",107,409
DIRECTION,"""[ Roaring ]""",107,410
DIRECTION,"""[ Tires screech ]""",107,411
DIRECTION,"""[ People screaming ]""",107,412
DIRECTION,"""[ Tires screech ]""",107,413
DIRECTION,"""[ Screaming continues ]""",107,414
Morty,"""Dad, there he is!""",107,415
DIRECTION,"""[ Roars ]""",107,416
Jerry,"""Oh, god,""",107,417
DIRECTION,"""Hey, stop that!""",107,418
Morty,"""Oh, my god!""",107,419
DIRECTION,"""Oh, my god! Dad!""",107,420
Morty Jr,"""[ Roars ]""",107,421
Morty,"""Morty Jr,, no!""",107,422
DIRECTION,"""It's me! It's dad,""",107,423
DIRECTION,"""It's okay!""",107,424
DIRECTION,"""Put the car down, Morty Jr,""",107,425
DIRECTION,"""No! No!""",107,426
DIRECTION,"""♪ Wh-where's your hands? ♪""",107,427
DIRECTION,"""♪ Where's your hands? ♪""",107,428
Jerry,"""My car!""",107,429
Morty Jr,"""♪ And that's how we play handy hands! ♪""",107,430
Rick,"""Out of the -- out of the way, Morty!""",107,431
- Morty,"""No!""",107,432
- Rick,"""Morty, that's one of the most violently aggressive creatures in the universe!""",107,433
Morty,"""He's my son!""",107,434
DIRECTION,"""And if you hurt him, you'll have to kill me, Rick!""",107,435
Morty Jr,"""[ Growls ]""",107,436
DIRECTION,"""Dad, I'm so confused!""",107,437
Morty,"""I know, Morty Jr,""",107,438
DIRECTION,"""I'm sorry.""",107,439
DIRECTION,"""I ended up lying to you and yelling at you just like my parents did to me,""",107,440
DIRECTION,"""You know, parents are just kids having kids,""",107,441
DIRECTION,"""One minute, you like how a shiny robot looks,""",107,442
DIRECTION,"""The next minute, you're in a fist fight with your alien son,""",107,443
Morty Jr,"""I'm an alien?""",107,444
Morty,"""We all have bad impulses, bad thoughts,""",107,445
DIRECTION,"""We just have to learn to channel them into something constructive,""",107,446
Morty Jr,"""But I want to murder everyone I see!""",107,447
Morty,"""Well, you know,""",107,448
DIRECTION,"""I mean, maybe there's a job out there for people that feel that way,""",107,449
Brad Anderson,"""Actually, there is,""",107,450
DIRECTION,"""Hi, I'm Brad Anderson, creator of the nationally syndicated comic strip""",107,451
DIRECTION,"""Marmaduke,""",107,452
DIRECTION,"""You should consider being a creative,""",107,453
DIRECTION,"""I'm haunted by uncontrollable thoughts of mutilations and sexual assaults on a near daily basis,""",107,454
DIRECTION,"""But, you know, I channel it all into my work.""",107,455
- Morty,"""Oh, Wow,""",107,456
- Morty,"""Huh,""",107,457
DIRECTION,"""I never got that impression from reading ""Marmaduke,""",107,458
Brad Anderson,"""Well, did you get the impression""",107,459
DIRECTION,"""I was trying to make you laugh?""",107,460
Jerry,"""Tell me that wasn't""",107,461
DIRECTION,"""Brad Anderson?""",107,462
Morty,"""Aw, see?""",107,463
DIRECTION,"""You hear that, Morty Jr,? maybe you could try being a creative of some kind,""",107,464
Morty Jr,"""Maybe!""",107,465
DIRECTION,"""I always have sort of wanted to see my face on the back of a novel,""",107,466
DIRECTION,"""I mean, what I really want to do is slit people's throats, but beyond that,,,""",107,467
Morty,"""I know you can do it, son,""",107,468
Morty Jr,"""I think it's time I get a place of my own.""",107,469
DIRECTION,"""I promise I'll call you every day, or if""",107,470
DIRECTION,"""I need money or a place to do laundry.""",107,471
Morty Jr,"""[ Growling affectionately ]""",107,472
Morty,"""Aaaaaaah!""",107,473
DIRECTION,"""[ Whoosh! thud! ]""",107,474
DIRECTION,"""[ Whoosh! thud! ]""",107,475
Jerry,"""So, I assume this novel your son writes is gonna pay for my rear axle?""",107,476
Rick,"""Isn't it interesting,""",107,477
DIRECTION,"""Summer, that after all that stuff we just did, nothing really mattered and there was no point to it?""",107,478
DIRECTION,"""Kind of makes you wonder, huh -- about nothing?""",107,479
Summer,"""Are you sure it doesn't make you re-evaluate your policy about taking girls on adventures?""",107,480
Rick,"""No, I'd say, given what we've been through, that I was right the whole time and any epiphanies about gender politics were a projection of your feminine insecurity,""",107,481
DIRECTION,"""But, hey, why don't you have a pink spaceship?""",107,482
DIRECTION,"""Go ride around and have a jolly old time,""",107,483
DIRECTION,"""Maybe that'll shut you up.""",107,484
Beth,"""Dad? Summer?""",107,485
DIRECTION,"""Where were you guys this whole time?""",107,486
Summer,"""On Gazorpazorp,""",107,487
DIRECTION,"""Where were you?""",107,488
Beth,"""I was reading a newspaper,""",107,489
Rick,"""Oh, that's interesting,""",107,490
DIRECTION,"""Beth,""",107,491
DIRECTION,"""You know, it's funny,""",107,492
DIRECTION,"""I-I-I heard about a little bit of news myself,""",107,493
DIRECTION,"""Take a look,""",107,494
DIRECTION,"""T-take a listen,""",107,495
DIRECTION,"""[ Farting ]""",107,496
DIRECTION,"""[ Both laugh ]""",107,497
DIRECTION,"""Wubba-lubba-dub-dubs!""",107,498
DIRECTION,"""This this world still got a -- it's still got a chance!""",107,499
DIRECTION,"""Yeah! Ha ha!""",107,500
DIRECTION,"""See you -- see you guys next week!""",107,501
DIRECTION,"""See everybody next week,""",107,502
Interviewer,"""Mortimer smith, Jr,,""",107,503
DIRECTION,"""New York Times bestselling author, your book is about innocence, the definition of it, and, inevitably, its impossibility,""",107,504
DIRECTION,"""Is it autobiographical?""",107,505
Morty Jr,"""Certainly,""",107,506
DIRECTION,"""I mean, all writing is, in my opinion,""",107,507
DIRECTION,"""But, uh -- my, um,,,""",107,508
DIRECTION,"""My father kept me locked in the house until I was a teenager, and there was violence and, uh, threats of poison gas -- but also dancing,""",107,509
Interviewer,"""But you persevered, and created this masterpiece from your suffering.""",107,510
DIRECTION,"""Smith Jr,'s mind-bending novel,""",107,511
DIRECTION,"""My Horrible Father,"" in every store and on everyone's mind,""",107,512
DIRECTION,"""Pick it up,""",107,513
DIRECTION,"""We'll be right back,""",107,514
Beth,"""It's a thankless job,""",107,515
DIRECTION,"""Morty,""",107,516
DIRECTION,"""You did the best you could.""",107,517
Morty,"""I hope he's eating enough.""",107,518
DIRECTION,"""Int. Smith Residence. The Smith Family and Rick are sitting in the living room watching TV.""",108,1
Bachelor (on TV),"""Cynthia...""",108,2
Jerry,"""Oh, my God! No, no..!""",108,3
Summer,"""I told you!""",108,4
Beth,"""Hold on.""",108,5
Bachelor (on TV),"""Will you please... NOT marry me-- I choose Veronica.""",108,6
Summer,"""What?""",108,7
Jerry,"""Yes!""",108,8
Beth,"""Called it.""",108,9
Summer,"""Why would he choose Veronica?""",108,10
Jerry,"""Because he loves her?""",108,11
Rick,"""Well if it's any consolation, Summer, none of it mattered, and the entire show is stupid.""",108,12
Jerry,"""Okay, I've got an idea, Rick: you show us your concept of ""good TV"", and we'll crap all over that.""",108,13
Rick,"""[stands, walking to the TV] I thought you'd never ask.""",108,14
DIRECTION,"""[disconnects and drops cable box, which breaks upon impact to the floor]""",108,15
Jerry,"""Hey!""",108,16
Morty,"""Oh, cool! Is that crystallized Zanthonite? It conducts electrons across dimensions.""",108,17
Rick,"""[working on the cable box] 20% accurate, as usual, [snatching the remote from Morty] Morty. [reconnecting the cable box as the TV buffers] The important thing being I just upgraded our cable package with programming from every conceivable reality.""",108,18
Jerry,"""Wait, does that mean we get Showtime Extreme?""",108,19
Rick,"""How about Showtime Extreme in a world where man evolved from corn? [turns on TV]""",108,20
Corn Man 1 (on TV),"""We're not so different. We're both corn of action.""",108,21
Corn Man 2 (on TV),"""Yeah... But one of us is dead corn! [shoots Corn Man 1]""",108,22
Summer,"""Bor-ing.""",108,23
Rick,"""Summer, [belch] you just spent [belch] three months watching a man choose a fake wife.""",108,24
Jerry,"""So, what, It'd be better if the people were corn?""",108,25
Rick,"""Jerry, you don't get it. This is infinite TV, from infinite universes. Look. [changes channel]""",108,26
Glenn (on TV),"""This shit is delicious.""",108,27
Rick,"""A movie about a guy eating shit. [changes channel, various people are fighting on TV] A violent Antiques Show... [changes channel]""",108,28
Letterman (on TV),"""It's a pleasure to have you.""",108,29
Jerry (on TV),"""The pleasure's all mine.""",108,30
Rick,"""Letterman from a time line where Jerry's famous. [changes channel to a stuffed teddy bear constructing a homemade spider web in an urban alley]""",108,31
Jerry,"""Wait!""",108,32
Beth,"""What in the hell?""",108,33
Rick,"""I agree. Where's this going?""",108,34
Jerry,"""No, the other thing! Go back!""",108,35
Rick,"""Really? All right, fine. [backs up two channels]""",108,36
Woman (on TV),"""Glenn, this is a court order. It says you can't eat shit anymore.""",108,37
Rick,"""All right, Jerry, when you're right, you're right. Now I'm hooked.""",108,38
DIRECTION,"""[Title Sequence]""",108,39
DIRECTION,"""Int. Smith Residence. The Smith Family and Rick are sitting in the living room watching TV.""",108,40
Announcer (on TV),"""Coming up next on ""Shmloo's the Shmloss"", Shmlony has a nightmare.""",108,41
Shmlony (on TV),"""Shmlantha, Schmlona!""",108,42
Rick,"""Amazing. A dimension where all proper nouns begin with ""Schmla"".""",108,43
Shmlony (on TV),"""Schmlove, Schmlandula, Schmlonathan--""",108,44
Rick,"""All right, that got, that actually got old pretty quick.""",108,45
Jerry,"""[groans] Rick, would you please go back to me on David Letterman?""",108,46
"Rick [flipping quickly through multiple channels, including another Jerry channel]","""Infinity's a big number, Jerry. I don't remember the channel.""",108,47
Beth,"""Go back, go back!""",108,48
Rick,"""Jeez. [changes channel back to Cloud Atlas riff]""",108,49
Jerry (on TV),"""You speak da tru-tru.""",108,50
Summer,"""Oh my God! Dad's in ""Cloud Atlas""!""",108,51
Jerry,"""I'm in ""Cloud Atlas""! What's ""Cloud Atlas""?""",108,52
Jerry (on TV),"""Sometimes small tru-tru different than da big tru-tru.""",108,53
Beth,"""How is this possible?""",108,54
Rick,"""Infinite timelines, infinite possibilities - including a time line where Jerry's a movie star. Look, you guys are getting excited about the wrong aspect of this device. Ju-- Wa-- Look at this. [changes channel]""",108,55
Host in Trenchcoat (on TV),"""And now, another Quick Mystery.""",108,56
Cop (on TV),"""I just want to know who could've done something like this. It's a travesty!""",108,57
Killer 1 (on TV),"""I did. See this knife and all the blood on it? Here's my fingerprints.""",108,58
Judge (on TV),"""Guilty! I sentence you to life in prison.""",108,59
DIRECTION,"""[Killer 1 is thrown in jail]""",108,60
Host in Trenchcoat (on TV),"""Here's another Quick Mystery.""",108,61
Man (on TV),"""My mother's dead!""",108,62
Killer 2 (on TV),"""And I killed her. Here's the weapon. And cuff me, thank you very much.""",108,63
Judge (on TV),"""Guilty! Sentenced to murder.""",108,64
DIRECTION,"""[Killer 2 is killed via electric chair]""",108,65
Host in Trenchcoat (on TV),"""Here's anothe--""",108,66
Killer 3 (on TV),"""I'm the killer! [puts gun in mouth, firing it once offscreen]""",108,67
Host in Trenchcoat (on TV),"""Wow, that one was really quick, wasn't it?""",108,68
Rick,"""Now who wants to watch random, crazy TV shows from different dimensions, a-a-and then who wants to narcissistically obsess about their alternate self?""",108,69
"Beth, Summer, and Jerry [all at once]","""Narcissism. The narcisstic stuff. I want to obsess about myself.""",108,70
Rick,"""[sighs] Here. [stands, pulling an ocular device from his coat] These scan your retinas, and let you view parallel time lines through genetically matching versions of your eyes. [throws the device into the kitchen] Go fetch!""",108,71
DIRECTION,"""[Jerry, Summer, and Beth run to the kitchen]""",108,72
Beth and Summer,"""[at the same time] Yes! This is so cool! Ladies First!""",108,73
Rick,"""I'm proud of you, Morty.""",108,74
Morty,"""Hey man, I don't give a crap about myself, Rick. Let's watch some crazy stuff, yo!""",108,75
Ants-In-My-Eyes Johnson (on TV),"""I'm Ants-In-My-Eyes Johnson, Here at Ants-in-My-Eyes Johnson's Electronics. I mean, there's so many ants in my eyes! And there's so many TVs, microwaves, radios I think, I can't-- I'm not 100% sure what we have here in stock, because I can't see anything. Our prices, I hope, aren't too low! Check out this refrigerator! Only $200! What about this microwave? Only $100! That's fair! I'm Ants-in-My-Eyes Johnson! Everything's black, I can't see a thing! [set on fire] And also I can't feel anything either-- did I mention that? But that's not as catchy as having ants in your eyes. So that always goes, you know, off by the wayside. I can't feel. It's a very rare disease. All my-- All my nerves, they don't allow for the sensation of touch. So I never know what's going on. Am I standing? Sitting? I don't know.""",108,76
DIRECTION,"""Int. Smith Residence. Jerry, Beth, and Summer are in the kitchen with the Ocular Device.""",108,77
Beth,"""Are we sure we want to do this? Look at our own alternate lives?""",108,78
Jerry,"""You're right. Maybe we should just play Yahtzee-- [grabs the device] Give me those! [turns switch]""",108,79
Beth,"""What do you see?""",108,80
Jerry,"""Whiteness... Pure whiteness.""",108,81
Johnny Depp (on Device),"""You're my best friend, Jerry Smith. I love doing cocaine with you.""",108,82
Jerry,"""Whoa! I love doing cocaine with you too, Johnny Depp!""",108,83
Beth,"""[sighs, taking the device] Haven't we spent enough time on you? [turns switch] I'm performing surgery... but not on a horse, on a human!""",108,84
Jerry,"""That's great, Beth! You always wanted to be a real surgeon.""",108,85
Beth,"""[taking off device] I am a real surgeon.""",108,86
Jerry,"""Ahh, uh-- Summer's turn! [giving Summer the device]""",108,87
Summer,"""Finally! I don't see anything.""",108,88
Beth,"""Well, you should select a different timeline, I mean, if your father and I achieved our dreams, there's a chance you weren't even born-- That came out wrong, that came out very wrong.""",108,89
Summer,"""Fine, I'll find a world where you bothered to have me. [turns switch a few times] We're playing Yahtzee.""",108,90
Beth,"""Yahtzee's fun. We love Yahtzee.""",108,91
Jerry,"""It's a fun game for fun families! Hey, could I get those goggles back for a second?""",108,92
DIRECTION,"""Int. Smith Residence. Rick and Morty are sitting in the living room watching TV.""",108,93
Announcer (on TV),"""It's a 45 horsepower with anti-lock brakes, and it's the official car of Mr. Sneezy 3D. It's the brand-new Sneezy XL. The horn when you honk it makes a sneeze noise. [car sneezes] It's polite, it's right, and it's Sneezy Deezy Mc-fucking Deluxe.""",108,94
Mr. Sneezy 3D (on TV),"""Oh, I'm Mr. Sneezy! Achoo!""",108,95
Morty,"""Huh, seems like TV from other dimensions has a somewhat looser feel to it.""",108,96
Rick,"""Yeah, it's got an almost improvisational tone. [changes channel]""",108,97
Announcer (on TV),"""It's in theaters now! Coming this summer: Two brothers. In a van. And then a meteor hit. And they ran as fast as they could, from giant cat monsters. And then a giant tornado came. And that's when things got knocked into 12th gear.""",108,98
A Mexican armada shows up. With weapons made from Two--tomatoes. And you better bet your bottom dollar that these two brothers know how to handle business. In,"""Alien Invasion Tomato Monster Mexican Armada Brothers, Who Are Just Regular Brothers, Running In a Van From an Asteroid and All Sorts of Things THE MOVIE!""",108,99
"Hold on, there's more! Old women are coming, and they're also in the movie, and they're gonna come, and cross-attack these two brothers. But let's get back to the brothers, because they're-- they have a strong bond. You don't want to know about it here, but I'll tell you one thing","""The moon, it comes crashing into Earth. And what do you do then? It's two brothers and--and th-they're - It's called Two Brothers. Two brothers! [starts laughing] It's just called Two Brothers.""",108,100
DIRECTION,"""Int. Smith Residence. Jerry, Beth, and Summer are in the kitchen with the Ocular Device.""",108,101
Beth,"""Holy crap, I am winning a Nobel Prize.""",108,102
Jerry,"""[taking the device] Come on! Time's up! [turns switch] I'm taming a lion! No, wait, uhh there are film cameras. I might be a lion-tamer in a movie. [gives Summer the device] You get the idea. I work with lions.""",108,103
Summer,"""[turning switch] [dryly] Ooh, we're not playing Yahtzee, [shoves device into Jerry's hands] we're playing Chutes and Ladders. It seems like when I exist, life gets a little more, I don't know, predictable?""",108,104
Beth,"""When two people create a life together, they set aside their previous lives as individuals.""",108,105
Jerry,"""Gimme a break! We're not heroes for having unprotected sex on prom night.""",108,106
Beth,"""Oh, I get it. Now that you know you could have had it better, you resent me for holding you back.""",108,107
Jerry,"""Well now that we know you think the tables are turning, we know you thought there were unturned tables!""",108,108
Beth,"""[scoffs] What are you talking about?""",108,109
Jerry,"""All this time, you've been thinking, ""What if that loser Jerry hadn't talked me out of the abortion?""",108,110
Summer,"""Um--""",108,111
Jerry,"""Well now you know: you'd be a doctor. [circles finger] Whoop-dee-doo. You'd also be drinking wine, alone in a house full of exotic birds. And I'd be on DiCaprio's yacht-- [holds up device] banging Kristen Stewart!""",108,112
Summer,"""You thought about getting an abortion?""",108,113
Beth,"""Everyone thinks about it. Obviously, I'm the version of me that didn't do it. So you're welcome.""",108,114
Jerry,"""Yeah, you're welcome.""",108,115
Summer,"""Yeah, thank you guys so much. It's a real treat to be raised by parents that force themselves to be together instead of being happy.""",108,116
Rick,"""[walking to the cupboard] Hey, do we have any wafer cookies? [grabs cookie box. eats cooke and starts walking away] Mm! [stops and looks back at Jerry, Summer and Beth] Oh, boy. Looks like you guys have been checking out alternate lives and realizing you don't have it as good, huh? That's too bad. You know, me and Morty are having a blast, We just discovered a show called ""Ball Fondlers"". I mean, I don't want to rub it in or anything, but you guys clearly backed the wrong conceptual horse. [eats another cookie, walking offscreen]""",108,117
DIRECTION,"""Int. Smith Residence. Rick and Morty are sitting in the living room watching the action-packed title sequence to “Ball Fondlers”.""",108,118
Rick,"""I'm in heaven right now. [eating wafer cookies]""",108,119
Morty,"""This might be the best day of my life.""",108,120
DIRECTION,"""Int. Smith Residence. Jerry, Beth, and Summer are in the kitchen.""",108,121
Beth,"""So now what do we do?""",108,122
Jerry,"""That show ""Ball Fondlers"" sounded kind of interesting.""",108,123
Summer,"""Dad!""",108,124
Jerry,"""What? They're having fun in there! What do you guys want from me? Every family on this block has to wonder if they're together by choice. Our family just has inter-dimensional goggles to show us for a fact that we're not.""",108,125
Summer,"""Well, I'm leaving!""",108,126
Beth,"""You can't leave, you're 17!""",108,127
Summer,"""Yeah, and I'm not pregnant. I'm gonna have better judgment than you guys had at my age. I'm gonna... move to the southwest and-- I don't know, do something with turquoise. [walks offscreen]""",108,128
DIRECTION,"""Int. Smith Residence. Rick and Morty are sitting in the living room watching TV.""",108,129
DIRECTION,"""[Summer storms off, passing in from of the TV]""",108,130
Announcer (on TV),"""It's Saturday Night Live! Starring A Piece of Toast! Two guys with handle-bar mustaches! A man painted silver who makes robot noises! Garmanarnar! Three s-- uh uh, uh, uh, I'll get back to that one. A hole in the wall, where the men can see it all, and returning, for his 25th consecutive year: Bobby Moynihan!""",108,131
Rick,"""Interesting fun fact, uh… Moynihan and Piece of Toast hate each other. Apparently they've got some real creative differences. [changes channel]""",108,132
Fake Doors Salesman (on TV),"""Hey, are you tired of real doors, cluttering up your house, where you open 'em, and they actually go somewhere? [music starts] And you go in another room? [snaps suspenders]Get on down to ""Real Fake Doors""! That's us. Fill a whole room up with 'em. See? Watch, check this out! [tries opening a few doors] Won't open. Won't open. Not this one, not this one. None of 'em open! FakeDoors.com is our website, so check it out for a lot of really great deals on fake doooooooors! [music fades. He walks off the set, still looking at the camera. He gets into he car and starts driving]""",108,133
Morty,"""Hey, wait a minute, Rick. Wh-- I thought this was a commercial. Wh-what's going on? I mean--""",108,134
Rick,"""Relax, Morty. Don't-don't worry about it. Let's just just see where this goes.""",108,135
Fake Doors Salesman (on TV),"""[honks horn] Step on it, we all got places to be! [honks] Son of a bitch! [pulls into driveway]""",108,136
Morty,"""See, that must be where he lives. OK...""",108,137
Rick,"""Huh. Making himself a sandwich now..""",108,138
Fake Doors Salesman (on TV),"""[music starts back up] Hey everybody! So this is my house, I just made a sandwich, peanut butter and jelly, still here, still selling fake doors!""",108,139
Morty,"""What?!""",108,140
Rick,"""Oh my God! It's still the commercial!""",108,141
Fake Doors Salesman (on TV),"""We have fake doors like you wouldn't believe! What are you worried about? Come get fake doors. Call us up, and order some fake doors today. Don't even hesitate, Don't even worry and don't even...""",108,142
Rick,"""All right, I'm bored. Change it.""",108,143
Morty,"""Wait wait, Rick! Hold on hold on...""",108,144
Fake Doors Salesman (on TV),"""...give it a second thought. That's our slogan. See it on the bottom of the screen, below our name. Here's another slogan, right below that one. What are you worried about? Come get fake doors! Get in here quick, get out quicker, with an arm of fake doors in you arms.""",108,145
Morty,"""Okay, okay, you can change it.""",108,146
Fake Doors Salesman (on TV),"""Don't even worry about it!""",108,147
DIRECTION,"""[channel changes]""",108,148
Gazorpazorpfield (on TV),"""[yawns] I hate Mumunmunundsdays. And I really could go for some enchiladas.""",108,149
Morty,"""Hey Rick, that's pretty cool! It's just like Garfield, only instead, it's Gazorpazorpfield.""",108,150
Rick,"""Hey, isn't Gazorpazorp where-where uh, where those Sex robots came from, remember? That whole thing?""",108,151
Morty,"""Yeah hey, that's pretty, pretty that's true. That's right!""",108,152
Rick,"""Yeah. Let's watch some more Gazorpazorpfield!""",108,153
Gazorpazorpfield (on TV),"""Hey Jon, it's me, Gazorpazorpfield. Boy, fuck you, Jon. You dumb, stupid, idiot.""",108,154
Jon (on TV),"""Come on, Gazorpazorpfield, go easy on me, huh?""",108,155
Gazorpazorpfield (on TV),"""You dumb, stupid, weak, pathetic, white, white uh, uh guilt, white guilt, milquetoast piece of human garbage.""",108,156
Jon,"""Jeez, Gazorpazorpfield, that's-- you know you're pretty mean to me, but that takes the cake.""",108,157
Gazorpazorpfield (on TV),"""I don't give a fuck! I'm Gazorpazorp-fucking-field, bitch! [kicks coffee cup over] Now give me my fucking enchiladas!""",108,158
Morty,"""Hey, Rick, you know, di-did they use Bill Murray for this? Sounds a lot like Bill Murray.""",108,159
Rick,"""No, Morty, it's Lorenzo Music. In this reality, he's still alive.""",108,160
Morty,"""Oh, okay, was his name Lorenzo Music?""",108,161
Rick,"""Yeah, I'm pretty sure. He also did that voice of that one guy from Ghostbusters, which is really strange, because it's the same character Bill Murray played in the movie. But then, when they made the movie Bill Murray did the voice of Gazorpazorp-- or Garfield, I mean.""",108,162
Morty,"""Yeah, that's pretty cool, Rick. So all that happened in this reality too?""",108,163
Rick,"""I don't know. Just making conversation with you, Morty. What do you think? I-I-I-I know everything about everything?""",108,164
DIRECTION,"""Int. Smith Residence. Jerry and Beth are in the kitchen.""",108,165
Beth,"""Did you really talk me out of the abortion? [drinking from a now empty winebox]""",108,166
Jerry,"""Well, we... we blew a tire on the way to the clinic.""",108,167
Beth,"""I think, in my head, I was doing it all for the kids. And now the first kid is going to... do something with turquoise.""",108,168
Jerry,"""Which is either code for crystal meth, or a gateway to it.""",108,169
Beth,"""So, we didn't do the kids any favors. So, we should stay together for each other and ourselves... or...""",108,170
Jerry,"""Or?""",108,171
DIRECTION,"""Int. Smith Residence. Rick and Morty are sitting in the living room watching TV.""",108,172
Spokesman (on TV),"""Man. Woman. And now, trunk man? We know science has created men that have a trunk that allows them to have sex with both male and female partners. But we don't like the idea of these people getting married. Put a line in the sand everybody--, people! Vote no on proposition XW2.""",108,173
Suspender Guy (on TV),"""The act that says that gay uh trunk people can get married. Who needs it?""",108,174
Garbageman (on TV),"""Not on my watch!""",108,175
Spokeman (on TV),"""Paid for by Michael Denny and The Denny Singers. [Commercial ends, a new commercial begins]""",108,176
Trunkperson (on TV),"""Hi, I'm a trunk person. And I want I-I feel love in my heart, too, just like you. I want to be able to express that love, with both a man and a woman. And I won't be able to if Denny and The Denny Singers get their way.""",108,177
New Yorker (on TV),"""Hey, let the trunk people have sex and get married, huh?""",108,178
Spokesman (on TV),"""Paid for by... Trunk People. [Commercial ends, a new commercial begins]""",108,179
Mr. Tophat Jones (on TV),"""Oh, I love me Strawberry Smiggles! Ooh, I hope nobody ever gets my hands on me, and tries to steal my Strawberry Smiggles. I'm going to eat every last one of them, because and then they'll be in my stomach, and nobody will ever be able to eat them. Except for me, because they're going to be all inside my stomach. I'm my name is Mister... Tophat Jones, and God forbid anyone ever take my sniggy, little pig-dul smiggles. I'm keeping 'em all for me.""",108,180
